Fips,Target
01001,0
01003,0
01005,0
01007,0
01009,0
01011,0
01013,0
01015,0
01017,0
01019,0
01021,0
01023,0
01025,0
01027,0
01029,0
01031,0
01033,0
01035,0
01037,0
01039,0
01041,0
01043,0
01045,0
01047,0
01049,0
01051,0
01053,0
01055,0
01057,0
01059,0
01061,0
01063,0
01065,0
01067,0
01069,0
01071,0
01073,0
01075,0
01077,0
01079,0
01081,0
01083,1
01085,0
01087,0
01089,0
01091,0
01093,0
01095,0
01097,0
01099,0
01101,0
01103,0
01105,0
01107,0
01109,0
01111,0
01113,0
01115,0
01117,0
01119,0
01121,0
01123,0
01125,0
01127,0
01129,0
01131,0
01133,0
02013,0
02016,1
02020,0
02050,0
02060,1
02068,0
02070,1
02090,0
02100,1
02105,0
02110,0
02122,0
02130,0
02150,1
02158,0
02164,1
02170,0
02180,0
02185,1
02188,0
02195,0
02198,0
02220,0
02230,1
02240,0
02261,0
02275,0
02282,0
02290,0
04001,0
04003,1
04005,0
04007,0
04009,0
04011,0
04012,1
04013,1
04015,1
04017,0
04019,1
04021,1
04023,1
04025,0
04027,1
05001,0
05003,0
05005,0
05007,0
05009,0
05011,1
05013,0
05015,0
05017,1
05019,0
05021,0
05023,0
05025,0
05027,0
05029,0
05031,1
05033,0
05035,1
05037,1
05039,0
05041,0
05043,0
05045,0
05047,0
05049,0
05051,0
05053,0
05055,0
05057,0
05059,0
05061,1
05063,0
05065,0
05067,1
05069,0
05071,0
05073,0
05075,0
05077,1
05079,1
05081,1
05083,0
05085,1
05087,0
05089,0
05091,0
05093,1
05095,0
05097,0
05099,0
05101,0
05103,0
05105,0
05107,1
05109,0
05111,0
05113,1
05115,0
05117,1
05119,0
05121,0
05123,1
05125,0
05127,0
05129,0
05131,1
05133,1
05135,0
05137,0
05139,0
05141,0
05143,0
05145,1
05147,1
05149,0
06001,1
06003,0
06005,0
06007,0
06009,0
06011,1
06013,1
06015,0
06017,0
06019,0
06021,1
06023,0
06025,1
06027,1
06029,1
06031,1
06033,0
06035,1
06037,1
06039,0
06041,0
06043,0
06045,0
06047,1
06049,1
06051,0
06053,1
06055,0
06057,0
06059,1
06061,0
06063,0
06065,1
06067,1
06069,1
06071,1
06073,1
06075,1
06077,1
06079,1
06081,1
06083,1
06085,1
06087,0
06089,0
06091,0
06093,0
06095,1
06097,0
06099,1
06101,0
06103,1
06105,0
06107,0
06109,0
06111,1
06113,0
06115,0
08001,0
08003,0
08005,0
08007,0
08009,1
08011,1
08013,0
08014,0
08015,0
08017,1
08019,0
08021,0
08023,0
08025,1
08027,0
08029,0
08031,0
08033,0
08035,0
08037,0
08039,0
08041,0
08043,0
08045,0
08047,0
08049,0
08051,0
08053,0
08055,0
08057,0
08059,0
08061,1
08063,0
08065,0
08067,0
08069,0
08071,0
08073,0
08075,1
08077,0
08079,0
08081,1
08083,0
08085,0
08087,0
08089,1
08091,0
08093,0
08095,0
08097,0
08099,1
08101,0
08103,1
08105,0
08107,0
08109,0
08111,0
08113,0
08115,0
08117,0
08119,0
08121,0
08123,0
08125,1
09001,0
09003,0
09005,0
09007,0
09009,0
09011,0
09013,0
09015,0
10001,0
10003,0
10005,0
11001,0
12001,0
12003,0
12005,0
12007,0
12009,1
12011,1
12013,0
12015,1
12017,0
12019,0
12021,0
12023,0
12027,0
12029,0
12031,0
12033,0
12035,0
12037,0
12039,0
12041,0
12043,1
12045,0
12047,0
12049,0
12051,1
12053,0
12055,0
12057,0
12059,0
12061,1
12063,0
12065,0
12067,0
12069,0
12071,1
12073,0
12075,0
12077,0
12079,0
12081,0
12083,0
12085,1
12086,1
12087,0
12089,0
12091,0
12093,0
12095,0
12097,0
12099,1
12101,0
12103,0
12105,0
12107,0
12109,0
12111,0
12113,0
12115,0
12117,0
12119,0
12121,0
12123,0
12125,0
12127,0
12129,0
12131,0
12133,0
13001,0
13003,0
13005,0
13007,0
13009,0
13011,0
13013,0
13015,0
13017,0
13019,0
13021,0
13023,0
13025,0
13027,0
13029,0
13031,0
13033,0
13035,0
13037,0
13039,0
13043,0
13045,0
13047,0
13049,0
13051,0
13053,0
13055,0
13057,0
13059,0
13061,0
13063,0
13065,0
13067,0
13069,0
13071,0
13073,0
13075,0
13077,0
13079,0
13081,0
13083,0
13085,0
13087,0
13089,0
13091,0
13093,0
13095,0
13097,0
13099,0
13101,0
13103,0
13105,0
13107,0
13109,0
13111,0
13113,0
13115,0
13117,0
13119,0
13121,0
13123,0
13125,0
13127,0
13129,0
13131,0
13133,0
13135,0
13137,0
