Fips,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
1021,44.0,-86.7,32.85,1814.79,0.0,0.0,102.0,14.0,4977.0,,,,84.0,7.0,7373.0,490.0,90.0,26891.0,484.0,26.0,21881.0,71.0,14.0,3655.0,204.0,56.0,9622.0,68.0,29.0,1897.0,103.0,36.0,3979.0,,,,152.0,29.0,4043.0,,,,885.0,67.0,36137.0,71.0,5.0,830.0,1090.0,61.0,15445.0,532.0,117.0,11443.0,1.0,3.0,113.0
1023,13.0,-89.24,33.36,2385.5,0.0,0.0,278.0,21.0,13724.0,,,,,,,277.0,15.0,12803.0,37.0,5.0,1297.0,26.0,6.0,1243.0,74.0,15.0,3397.0,15.0,5.0,188.0,51.0,20.0,1493.0,,,,11.0,5.0,222.0,,,,378.0,22.0,12839.0,,,,145.0,19.0,1934.0,110.0,42.0,2701.0,,,
1025,24.0,-93.78,41.02,3244.59,0.0,0.0,254.0,28.0,13310.0,31.0,3.0,1214.0,55.0,4.0,4108.0,116.0,25.0,4114.0,157.0,17.0,9115.0,76.0,15.0,2778.0,332.0,72.0,15674.0,71.0,18.0,1890.0,82.0,26.0,2947.0,,,,78.0,15.0,3576.0,91.0,5.0,1871.0,989.0,55.0,33983.0,11.0,5.0,152.0,725.0,49.0,9386.0,281.0,65.0,6131.0,,,
1027,13.0,-98.21,33.69,1568.96,0.0,0.0,68.0,14.0,2057.0,,,,,,,45.0,15.0,1614.0,21.0,3.0,1029.0,16.0,6.0,710.0,84.0,11.0,4875.0,8.0,6.0,101.0,47.0,10.0,1316.0,,,,18.0,5.0,528.0,,,,550.0,21.0,17828.0,,,,126.0,10.0,1828.0,111.0,23.0,2222.0,,,
1029,15.0,-92.03,35.53,1453.44,0.0,0.0,27.0,9.0,1167.0,,,,,,,321.0,20.0,22612.0,43.0,5.0,1296.0,,,,59.0,11.0,2229.0,6.0,4.0,158.0,13.0,8.0,338.0,,,,97.0,6.0,1555.0,,,,65.0,12.0,2175.0,,,,178.0,11.0,2517.0,117.0,24.0,3038.0,,,
1031,52.0,-82.84,31.53,1762.85,1.55,0.08,33.0,6.0,1542.0,,,,42.0,3.0,3140.0,388.0,80.0,14534.0,418.0,33.0,21746.0,103.0,15.0,4794.0,447.0,82.0,24048.0,175.0,40.0,6370.0,732.0,60.0,58965.0,,,,349.0,34.0,8461.0,82.0,10.0,4573.0,1996.0,99.0,73389.0,99.0,9.0,1258.0,1815.0,101.0,24417.0,701.0,129.0,15340.0,9.0,3.0,93.0
1033,55.0,-87.79,34.65,1614.67,1.63,0.05,17.0,4.0,766.0,90.0,5.0,5891.0,,,,1967.0,104.0,104578.0,718.0,74.0,37491.0,124.0,15.0,7319.0,659.0,100.0,31941.0,120.0,37.0,3862.0,326.0,72.0,13855.0,30.0,3.0,1260.0,3308.0,49.0,82472.0,58.0,5.0,1398.0,3107.0,117.0,144849.0,152.0,19.0,2805.0,2053.0,109.0,27284.0,1036.0,146.0,31203.0,,,
1035,12.0,-86.94,31.4,2209.01,0.0,0.0,172.0,22.0,8624.0,,,,,,,60.0,7.0,2147.0,300.0,7.0,12870.0,18.0,5.0,767.0,49.0,9.0,1907.0,5.0,5.0,146.0,20.0,9.0,677.0,,,,23.0,7.0,610.0,,,,510.0,20.0,14785.0,7.0,3.0,151.0,259.0,14.0,3128.0,56.0,18.0,1163.0,,,
1037,11.0,-86.23,32.92,1726.02,0.0,0.0,76.0,5.0,3001.0,,,,,,,63.0,10.0,3164.0,24.0,4.0,1736.0,,,,11.0,5.0,452.0,5.0,5.0,68.0,33.0,7.0,2128.0,,,,3.0,4.0,94.0,,,,135.0,4.0,3588.0,,,,210.0,3.0,5961.0,33.0,19.0,729.0,,,
1039,37.0,-86.46,31.2,2703.43,0.0,0.0,59.0,11.0,3260.0,,,,442.0,4.0,41767.0,455.0,72.0,17207.0,503.0,32.0,20079.0,122.0,15.0,3552.0,337.0,62.0,15763.0,83.0,23.0,2743.0,377.0,67.0,14848.0,,,,263.0,25.0,7952.0,,,,1642.0,89.0,61696.0,97.0,11.0,998.0,911.0,64.0,13745.0,516.0,93.0,12253.0,,,
1041,14.0,-86.32,31.68,1582.27,0.0,0.0,147.0,17.0,7215.0,,,,,,,106.0,19.0,4081.0,538.0,12.0,22466.0,4.0,3.0,312.0,99.0,14.0,4833.0,9.0,6.0,305.0,19.0,11.0,914.0,,,,17.0,6.0,1058.0,,,,428.0,15.0,14772.0,,,,183.0,13.0,2282.0,90.0,28.0,2027.0,,,
1043,83.0,-86.88,34.13,1955.09,0.0,0.0,92.0,14.0,3378.0,,,,134.0,6.0,10278.0,1131.0,166.0,52981.0,1343.0,86.0,67771.0,225.0,23.0,11702.0,780.0,120.0,47574.0,162.0,59.0,6567.0,431.0,93.0,17308.0,463.0,8.0,31811.0,954.0,63.0,31572.0,91.0,14.0,2169.0,4084.0,203.0,167077.0,153.0,17.0,2774.0,3304.0,148.0,48302.0,1333.0,208.0,35234.0,,,
1045,49.0,-85.62,31.39,1456.81,0.0,0.0,84.0,10.0,3429.0,,,,90.0,5.0,7027.0,638.0,46.0,28674.0,169.0,13.0,6307.0,32.0,11.0,1375.0,380.0,45.0,20660.0,161.0,31.0,6532.0,723.0,81.0,40895.0,308.0,4.0,15999.0,180.0,27.0,6525.0,116.0,10.0,6623.0,1232.0,55.0,45733.0,23.0,6.0,495.0,1119.0,75.0,17887.0,636.0,90.0,13202.0,,,
1047,39.0,-96.78,32.76,2573.97,0.0,0.0,50.0,10.0,3288.0,,,,57.0,3.0,5089.0,521.0,40.0,27651.0,207.0,21.0,9357.0,107.0,15.0,6279.0,281.0,46.0,15702.0,66.0,25.0,1880.0,395.0,52.0,16129.0,,,,270.0,19.0,7160.0,169.0,9.0,2998.0,1727.0,83.0,68063.0,52.0,6.0,895.0,790.0,49.0,11260.0,692.0,85.0,16075.0,,,
1049,71.0,-88.77,41.89,2016.82,1.86,0.04,10.0,3.0,161.0,,,,,,,627.0,75.0,29845.0,825.0,54.0,31839.0,218.0,16.0,11558.0,418.0,87.0,18904.0,189.0,28.0,7065.0,438.0,67.0,13409.0,,,,940.0,43.0,26153.0,90.0,5.0,1236.0,2674.0,133.0,96098.0,72.0,10.0,1298.0,1885.0,102.0,30948.0,433.0,109.0,9505.0,6.0,4.0,101.0
1051,81.0,-86.13,32.58,1701.76,0.0,0.0,52.0,10.0,3278.0,21.0,3.0,740.0,115.0,12.0,10090.0,769.0,143.0,37009.0,314.0,41.0,15050.0,69.0,18.0,3578.0,385.0,81.0,18417.0,131.0,64.0,4137.0,404.0,94.0,17714.0,,,,200.0,45.0,7148.0,341.0,6.0,9228.0,2131.0,99.0,65895.0,90.0,17.0,1210.0,2945.0,110.0,56986.0,934.0,154.0,22313.0,,,
1053,37.0,-87.35,30.66,2467.64,0.0,0.0,185.0,18.0,9627.0,241.0,6.0,13229.0,80.0,5.0,5463.0,336.0,60.0,15424.0,170.0,27.0,8293.0,82.0,15.0,2995.0,327.0,68.0,14289.0,71.0,27.0,1791.0,194.0,43.0,7678.0,51.0,4.0,3510.0,168.0,24.0,6068.0,,,,1255.0,61.0,44141.0,60.0,3.0,908.0,2030.0,63.0,40449.0,403.0,92.0,7806.0,,,
1055,103.0,-86.02,34.04,1421.18,2.28,0.03,11.0,4.0,286.0,,,,147.0,8.0,13524.0,949.0,126.0,41158.0,1009.0,76.0,44311.0,291.0,32.0,16144.0,1013.0,148.0,53307.0,219.0,60.0,7817.0,634.0,127.0,28024.0,79.0,11.0,6068.0,1506.0,69.0,36967.0,193.0,8.0,3316.0,7153.0,282.0,319603.0,288.0,21.0,4451.0,4000.0,184.0,59298.0,1514.0,247.0,35839.0,,,
1057,16.0,-96.96,29.84,1630.15,0.0,0.0,110.0,15.0,2818.0,130.0,6.0,6135.0,,,,63.0,15.0,1873.0,29.0,6.0,1359.0,35.0,7.0,1116.0,74.0,16.0,3552.0,9.0,5.0,398.0,46.0,17.0,1455.0,,,,,,,,,,689.0,42.0,23791.0,,,,246.0,20.0,3231.0,131.0,29.0,2731.0,,,
1059,31.0,-95.22,33.2,1675.09,0.0,0.0,75.0,12.0,2435.0,39.0,3.0,2013.0,,,,228.0,38.0,9434.0,154.0,18.0,5283.0,45.0,9.0,1734.0,391.0,55.0,15679.0,67.0,20.0,868.0,165.0,26.0,5382.0,68.0,5.0,5683.0,131.0,8.0,5680.0,,,,929.0,44.0,35801.0,14.0,5.0,265.0,709.0,39.0,8788.0,291.0,60.0,6395.0,,,
1061,26.0,-85.8,31.09,1499.44,0.0,0.0,,,,,,,46.0,3.0,3464.0,165.0,46.0,5595.0,470.0,24.0,30805.0,10.0,7.0,621.0,142.0,29.0,6012.0,17.0,7.0,547.0,103.0,25.0,3117.0,,,,121.0,16.0,2483.0,,,,570.0,35.0,19834.0,5.0,4.0,55.0,335.0,30.0,3987.0,124.0,52.0,2609.0,,,
1063,8.0,-90.39,39.36,1709.32,0.0,0.0,21.0,6.0,811.0,,,,,,,39.0,7.0,5454.0,,,,6.0,3.0,393.0,36.0,5.0,1618.0,,,,7.0,4.0,1101.0,,,,,,,,,,262.0,11.0,7572.0,142.0,3.0,4409.0,31.0,4.0,360.0,30.0,11.0,497.0,,,
1065,15.0,-101.81,34.03,1699.64,0.0,0.0,85.0,8.0,4366.0,,,,,,,149.0,21.0,6983.0,25.0,7.0,1590.0,13.0,5.0,813.0,69.0,9.0,3097.0,9.0,5.0,230.0,23.0,9.0,485.0,,,,8.0,5.0,329.0,,,,445.0,16.0,13527.0,,,,128.0,15.0,1915.0,59.0,14.0,1042.0,,,
1067,17.0,-90.12,41.34,1472.02,0.0,0.0,227.0,14.0,10750.0,,,,1149.0,5.0,138469.0,124.0,25.0,4874.0,181.0,15.0,8704.0,,,,94.0,16.0,4325.0,6.0,5.0,85.0,164.0,27.0,8589.0,32.0,5.0,14200.0,76.0,11.0,3510.0,55.0,3.0,981.0,164.0,20.0,5638.0,,,,208.0,22.0,2610.0,181.0,36.0,4047.0,,,
1069,105.0,-95.39,31.34,1506.29,1.61,0.13,13.0,6.0,1316.0,,,,29.0,3.0,1538.0,1773.0,198.0,80740.0,3629.0,172.0,197129.0,644.0,48.0,25304.0,1186.0,197.0,68570.0,622.0,104.0,24523.0,1082.0,211.0,66354.0,537.0,19.0,30813.0,3060.0,111.0,93441.0,384.0,25.0,9212.0,9669.0,320.0,532204.0,567.0,40.0,9788.0,6134.0,262.0,89223.0,1894.0,275.0,50554.0,5.0,6.0,156.0
1071,52.0,-96.56,28.92,2919.14,0.0,0.0,12.0,3.0,320.0,,,,,,,391.0,52.0,16566.0,697.0,28.0,22567.0,52.0,11.0,1532.0,347.0,63.0,18816.0,77.0,28.0,2477.0,286.0,54.0,11487.0,31.0,4.0,1853.0,218.0,32.0,10090.0,,,,1569.0,102.0,60515.0,13.0,8.0,311.0,1476.0,82.0,18610.0,475.0,97.0,9897.0,,,
1073,660.0,-94.17,29.83,2911.42,2.4,2.02,169.0,12.0,7556.0,1238.0,26.0,115313.0,6632.0,50.0,795084.0,19549.0,1078.0,1328059.0,16646.0,1021.0,1128709.0,9097.0,320.0,622424.0,21434.0,1282.0,2174029.0,5855.0,810.0,350636.0,16561.0,1937.0,1316305.0,7141.0,160.0,805854.0,25679.0,743.0,800179.0,6110.0,179.0,192540.0,62932.0,1772.0,3854762.0,6664.0,235.0,129297.0,31971.0,1505.0,592149.0,20336.0,1785.0,779888.0,52.0,16.0,1181.0
1075,14.0,-95.58,33.64,1568.99,0.0,0.0,49.0,10.0,2135.0,,,,,,,82.0,13.0,3340.0,19.0,6.0,1460.0,9.0,5.0,445.0,114.0,12.0,5242.0,12.0,4.0,173.0,49.0,16.0,2244.0,,,,26.0,5.0,1016.0,,,,358.0,25.0,8506.0,6.0,3.0,340.0,182.0,17.0,2666.0,142.0,28.0,2194.0,,,
1077,93.0,-87.67,34.9,1864.32,2.47,0.12,114.0,15.0,5683.0,,,,,,,1654.0,138.0,69023.0,1365.0,74.0,61387.0,433.0,35.0,13796.0,1010.0,173.0,60252.0,485.0,110.0,13984.0,696.0,150.0,29628.0,176.0,8.0,9737.0,635.0,63.0,16591.0,415.0,20.0,7419.0,5138.0,235.0,216381.0,347.0,25.0,4367.0,4469.0,177.0,63983.0,1314.0,222.0,27680.0,3.0,3.0,85.0
1079,33.0,-80.35,41.0,1856.9,0.0,0.0,,,,,,,126.0,4.0,10886.0,296.0,32.0,13624.0,100.0,15.0,3431.0,28.0,8.0,1029.0,109.0,26.0,5107.0,31.0,10.0,702.0,131.0,32.0,8032.0,,,,61.0,15.0,1951.0,,,,791.0,33.0,20594.0,,,,536.0,44.0,7723.0,231.0,63.0,5673.0,,,
1081,161.0,-96.96,30.3,1595.03,2.11,0.51,43.0,13.0,1637.0,54.0,3.0,3680.0,238.0,10.0,22647.0,2750.0,261.0,140657.0,1192.0,100.0,59103.0,733.0,46.0,34261.0,955.0,191.0,61151.0,794.0,167.0,33707.0,1781.0,277.0,90023.0,129.0,9.0,5535.0,3801.0,172.0,94442.0,374.0,31.0,9196.0,6842.0,259.0,290666.0,618.0,25.0,8648.0,8253.0,392.0,124777.0,2158.0,286.0,53836.0,,,
1083,95.0,-96.58,31.53,1572.73,0.0,0.0,41.0,3.0,822.0,,,,,,,1336.0,173.0,61415.0,728.0,59.0,34948.0,162.0,23.0,9576.0,406.0,99.0,21316.0,169.0,63.0,6632.0,897.0,139.0,64688.0,59.0,6.0,3709.0,482.0,72.0,18149.0,183.0,9.0,5191.0,2328.0,134.0,91516.0,114.0,14.0,2752.0,2094.0,111.0,31792.0,1048.0,149.0,29462.0,,,
1085,10.0,-83.26,30.82,1877.98,0.0,0.0,16.0,5.0,739.0,,,,,,,212.0,12.0,10326.0,,,,,,,25.0,7.0,1259.0,9.0,6.0,168.0,12.0,5.0,563.0,,,,,,,,,,130.0,6.0,4175.0,31.0,4.0,561.0,,,,32.0,9.0,447.0,,,
1087,19.0,-88.96,39.85,1588.0,0.0,0.0,,,,,,,,,,77.0,12.0,4420.0,17.0,5.0,792.0,17.0,3.0,793.0,42.0,11.0,1539.0,26.0,11.0,597.0,28.0,11.0,1947.0,,,,272.0,8.0,7266.0,1490.0,3.0,44386.0,1605.0,21.0,118162.0,,,,370.0,23.0,5447.0,94.0,30.0,1794.0,,,
1089,362.0,-95.95,30.96,2104.97,1.98,0.54,27.0,8.0,494.0,58.0,3.0,4652.0,,,,5995.0,546.0,303006.0,5069.0,358.0,323428.0,4309.0,182.0,276053.0,3819.0,500.0,274587.0,1937.0,446.0,86613.0,43484.0,1430.0,4273694.0,1196.0,38.0,97732.0,8819.0,435.0,322131.0,3334.0,101.0,126670.0,26646.0,1019.0,1350239.0,3190.0,119.0,51166.0,17823.0,815.0,295556.0,6410.0,792.0,167221.0,6.0,7.0,171.0
1091,19.0,-87.76,32.2,2544.84,0.0,0.0,215.0,18.0,10380.0,,,,166.0,5.0,16502.0,397.0,30.0,18926.0,87.0,19.0,4270.0,50.0,8.0,2722.0,215.0,35.0,11292.0,89.0,10.0,2837.0,80.0,16.0,3129.0,,,,505.0,13.0,19163.0,35.0,3.0,411.0,1030.0,52.0,33466.0,38.0,6.0,894.0,507.0,38.0,7092.0,252.0,57.0,6636.0,,,
1093,30.0,-94.34,32.79,1925.55,0.0,0.0,63.0,12.0,2305.0,,,,,,,64.0,16.0,2207.0,484.0,26.0,17815.0,56.0,9.0,1810.0,411.0,45.0,17658.0,15.0,9.0,598.0,78.0,24.0,2418.0,58.0,3.0,1285.0,430.0,12.0,8927.0,11.0,3.0,48.0,1241.0,81.0,48281.0,7.0,3.0,184.0,734.0,57.0,9866.0,256.0,58.0,5508.0,,,
1095,96.0,-89.3,41.03,1614.02,0.0,0.0,,,,,,,93.0,4.0,6666.0,1242.0,133.0,58995.0,1439.0,87.0,63746.0,412.0,27.0,19326.0,852.0,165.0,43988.0,562.0,74.0,12843.0,697.0,123.0,34329.0,500.0,12.0,69482.0,1344.0,59.0,35069.0,53.0,13.0,834.0,4166.0,181.0,169395.0,141.0,25.0,2845.0,3497.0,194.0,53106.0,1048.0,173.0,19126.0,,,
1097,414.0,-88.19,30.65,3286.09,1.98,0.77,396.0,47.0,12486.0,197.0,14.0,25389.0,944.0,24.0,101652.0,13063.0,668.0,658172.0,7419.0,540.0,453378.0,2808.0,144.0,175988.0,6557.0,658.0,421444.0,2231.0,430.0,97015.0,9571.0,862.0,627184.0,2621.0,69.0,239909.0,13630.0,436.0,471149.0,3188.0,91.0,89444.0,22228.0,805.0,1079747.0,1703.0,103.0,24394.0,16150.0,764.0,248154.0,8139.0,935.0,206024.0,14.0,12.0,255.0
1099,21.0,-90.18,38.27,2679.64,0.0,0.0,192.0,33.0,8957.0,28.0,3.0,3225.0,49.0,6.0,3927.0,200.0,17.0,9088.0,177.0,19.0,10247.0,64.0,10.0,2735.0,155.0,37.0,7040.0,38.0,13.0,1450.0,42.0,15.0,1645.0,,,,79.0,13.0,2293.0,,,,748.0,30.0,26465.0,,,,325.0,22.0,4418.0,234.0,48.0,4951.0,,,
1101,227.0,-95.51,30.3,2071.59,1.9,1.19,50.0,11.0,2877.0,27.0,3.0,1304.0,791.0,13.0,60507.0,4158.0,304.0,234629.0,6778.0,305.0,390869.0,1869.0,118.0,94735.0,4197.0,396.0,335576.0,1549.0,255.0,67046.0,5859.0,587.0,471505.0,1497.0,44.0,71644.0,9617.0,297.0,244778.0,2331.0,71.0,67362.0,18328.0,651.0,934316.0,1345.0,62.0,24975.0,12220.0,542.0,208230.0,5072.0,636.0,176171.0,11.0,5.0,86.0
1103,119.0,-90.19,39.71,1551.57,1.85,0.16,11.0,6.0,517.0,47.0,5.0,2962.0,80.0,6.0,8409.0,3702.0,244.0,199774.0,1864.0,155.0,118637.0,561.0,31.0,18503.0,1343.0,178.0,75921.0,391.0,96.0,16423.0,2450.0,194.0,167555.0,820.0,9.0,24146.0,1948.0,120.0,52095.0,161.0,13.0,4572.0,5846.0,344.0,236637.0,236.0,21.0,4834.0,4588.0,208.0,69650.0,1901.0,280.0,47873.0,6.0,3.0,61.0
1105,9.0,-89.38,38.08,1875.21,0.0,0.0,,,,,,,,,,75.0,9.0,3363.0,38.0,5.0,1597.0,,,,68.0,7.0,2896.0,8.0,6.0,171.0,16.0,6.0,309.0,,,,28.0,5.0,777.0,285.0,3.0,11023.0,148.0,7.0,4548.0,,,,127.0,12.0,1863.0,68.0,15.0,1239.0,,,
1107,20.0,-84.47,34.46,2304.1,0.0,0.0,92.0,21.0,3369.0,,,,,,,337.0,20.0,17887.0,39.0,7.0,1396.0,18.0,5.0,750.0,144.0,20.0,5982.0,7.0,3.0,122.0,96.0,12.0,3182.0,,,,,,,,,,564.0,26.0,19143.0,7.0,5.0,84.0,204.0,12.0,2958.0,100.0,29.0,1500.0,,,
1109,33.0,-90.85,39.61,1743.07,0.0,0.0,291.0,12.0,12908.0,,,,,,,573.0,38.0,37430.0,435.0,31.0,20053.0,210.0,9.0,10561.0,357.0,57.0,20348.0,100.0,32.0,3629.0,1037.0,36.0,54704.0,,,,198.0,20.0,5337.0,58.0,3.0,1533.0,1141.0,55.0,46078.0,87.0,8.0,761.0,1686.0,91.0,20019.0,373.0,64.0,6499.0,0.0,3.0,27.0
1111,23.0,-89.81,38.05,1512.59,0.0,0.0,84.0,11.0,2839.0,,,,,,,103.0,25.0,4446.0,57.0,11.0,2203.0,46.0,7.0,1918.0,138.0,26.0,6364.0,27.0,13.0,733.0,52.0,15.0,1362.0,,,,209.0,6.0,4666.0,,,,628.0,31.0,20861.0,,,,363.0,20.0,5045.0,201.0,48.0,4036.0,,,
1113,58.0,-98.8,38.9,1676.46,1.68,0.03,63.0,12.0,2437.0,,,,62.0,4.0,5791.0,551.0,76.0,20579.0,112.0,18.0,7054.0,102.0,8.0,5623.0,373.0,72.0,18712.0,153.0,46.0,7036.0,200.0,45.0,7578.0,46.0,5.0,3778.0,266.0,25.0,11284.0,94.0,5.0,2727.0,1528.0,66.0,54568.0,19.0,5.0,286.0,1797.0,102.0,26598.0,640.0,112.0,14556.0,,,
1115,88.0,-93.79,38.06,1692.16,0.0,0.0,13.0,5.0,415.0,,,,67.0,10.0,5129.0,1274.0,163.0,58522.0,1421.0,77.0,68002.0,244.0,30.0,8960.0,449.0,79.0,22218.0,143.0,44.0,6279.0,588.0,104.0,22100.0,94.0,3.0,3583.0,1115.0,68.0,35043.0,29.0,7.0,408.0,2143.0,107.0,83674.0,37.0,11.0,732.0,2458.0,121.0,37068.0,958.0,145.0,22426.0,,,
1117,213.0,-94.13,31.77,2096.54,1.99,0.05,185.0,13.0,13319.0,466.0,17.0,26264.0,1816.0,34.0,192473.0,6096.0,506.0,368637.0,5992.0,423.0,439505.0,4050.0,113.0,304429.0,9495.0,412.0,839843.0,1448.0,278.0,83931.0,5226.0,615.0,396849.0,1803.0,48.0,214704.0,7704.0,339.0,335700.0,868.0,68.0,24635.0,7801.0,507.0,370597.0,1195.0,77.0,25106.0,8398.0,407.0,146017.0,4928.0,501.0,149504.0,2.0,3.0,50.0
1119,13.0,-82.08,28.67,2364.62,0.0,0.0,31.0,4.0,1236.0,,,,,,,368.0,11.0,29210.0,129.0,10.0,5507.0,18.0,5.0,1022.0,59.0,14.0,2670.0,12.0,6.0,618.0,14.0,6.0,359.0,,,,168.0,9.0,9636.0,,,,334.0,17.0,10121.0,11.0,5.0,159.0,319.0,22.0,4031.0,66.0,18.0,1328.0,,,
1121,80.0,-86.16,33.4,1969.19,0.0,0.0,3.0,3.0,95.0,380.0,3.0,30984.0,68.0,3.0,5453.0,889.0,89.0,43565.0,633.0,53.0,29190.0,157.0,23.0,6548.0,535.0,93.0,24910.0,149.0,48.0,5127.0,416.0,68.0,17929.0,13.0,3.0,1122.0,1149.0,37.0,25210.0,220.0,7.0,8071.0,3196.0,138.0,99867.0,155.0,13.0,6883.0,2599.0,124.0,38414.0,635.0,145.0,14106.0,,,
